# Data1 Data2 Data3 Data4
106.655386 22.677486 4.000000 5.071860
105.695326 21.786435 8.000000 1.917292
92.806729 21.856750 1.000000 6.044068
82.035022 16.055134 6.000000 6.615315
114.087214 22.708409 4.000000 2.330853
89.501064 26.178548 3.000000 4.591449
85.449890 24.638934 2.000000 0.475239
63.697282 18.797280 8.000000 5.623133
88.140457 24.848259 4.000000 8.384505
114.119931 23.179503 4.000000 6.050217
84.268518 21.635621 1.000000 5.035583
76.314704 25.158081 5.000000 4.650544
82.777569 20.586523 1.000000 3.859965
88.462530 19.171872 5.000000 2.220268
110.304682 21.210586 7.000000 7.993417
75.727304 21.239222 6.000000 3.434004
95.647892 20.210303 3.000000 3.608928
110.078063 23.066234 0.000000 4.899270
111.765105 19.896257 3.000000 3.823956
91.551554 16.343570 8.000000 4.714999
108.163478 20.011892 9.000000 4.145506
55.354663 22.372019 6.000000 1.637578
54.531411 19.055974 5.000000 4.038141
101.350726 20.055068 5.000000 3.322981
75.640250 23.140691 2.000000 5.574739
61.291563 17.001733 7.000000 7.821090
92.960305 21.591218 3.000000 1.913254
87.324345 19.405981 2.000000 6.667166
82.603098 23.031110 7.000000 4.848762
65.605084 21.733928 3.000000 4.984010
64.561356 21.839382 4.000000 0.974437
105.200238 25.343091 7.000000 4.729591
81.361003 20.180662 1.000000 5.677668
70.672255 20.698772 7.000000 1.092808
94.264991 21.022383 3.000000 6.318342
102.909299 21.961202 1.000000 1.657425
83.284836 15.987448 3.000000 5.426116
83.012942 18.889549 7.000000 1.394448
73.866847 17.256912 3.000000 3.752783
113.269060 19.748361 3.000000 2.431354
76.462753 22.994579 1.000000 5.325139
110.234408 20.289083 3.000000 5.747499
90.886107 23.513219 2.000000 6.866866
92.357075 19.788372 6.000000 5.748437
99.421198 19.425233 3.000000 5.572223
109.445982 22.458728 3.000000 8.372118
45.448247 22.893780 2.000000 2.844541
89.387698 21.343729 6.000000 2.706799
86.733360 21.036800 5.000000 5.155452
128.779154 22.473260 2.000000 3.239979
75.869347 21.718407 5.000000 4.931593
84.023935 18.621122 6.000000 5.113863
74.683871 22.329320 2.000000 6.301438
105.682084 22.479729 4.000000 5.458209
76.277997 22.166946 4.000000 7.930007
88.907185 23.912631 3.000000 2.229766
93.984012 18.538563 4.000000 3.725599
94.960261 20.928502 5.000000 1.855404
71.912050 23.636332 5.000000 7.127106
87.546314 20.071965 5.000000 7.167087
84.720575 19.228540 4.000000 8.491319
105.463222 20.214832 3.000000 2.974919
65.135968 19.050095 1.000000 6.890812
70.004241 22.260192 4.000000 2.636704
