# Radius Velocity Satellites Factor
96.674095 20.864105 7.000000 3.632780
109.996921 25.032064 5.000000 5.764016
125.494044 17.295891 2.000000 7.970879
54.209111 22.055175 2.000000 5.336356
89.690325 21.690737 3.000000 6.449112
51.605176 22.818612 2.000000 3.345210
60.241386 19.331793 1.000000 3.239673
94.956377 24.770482 6.000000 6.878285
103.797585 23.396268 5.000000 3.520582
85.071718 17.569695 3.000000 2.908091
97.887454 23.977542 4.000000 2.378307
126.237448 19.052253 1.000000 6.258514
108.011866 19.972345 2.000000 5.094258
108.664507 19.834704 3.000000 3.523580
91.847382 19.988899 8.000000 4.523743
67.889691 22.554984 1.000000 8.267898
97.095022 21.077483 6.000000 4.844173
114.532040 18.914598 3.000000 8.044555
76.661552 20.679114 3.000000 4.785296
107.411088 21.917051 2.000000 4.192778
108.653760 21.188054 0.000000 6.591431
112.148170 21.579947 4.000000 0.171063
128.083464 17.274964 3.000000 4.865288
72.834313 16.516892 4.000000 7.131940
69.904976 18.201836 6.000000 1.388467
48.017600 22.009529 9.000000 5.571341
100.433473 23.028902 3.000000 1.957249
96.568876 21.087293 1.000000 2.181770
121.544212 23.095247 4.000000 0.642290
87.597885 20.052547 4.000000 5.758934
99.701824 16.458390 8.000000 4.127717
96.660990 22.548012 5.000000 4.512061
89.405658 19.360832 3.000000 3.232250
86.323560 21.970298 4.000000 1.357777
93.361888 26.270608 4.000000 6.465802
68.387652 21.186720 6.000000 6.427855
85.578961 16.869329 1.000000 6.382083
99.081363 17.495172 3.000000 1.853733
91.206829 21.753313 7.000000 8.814824
93.041521 20.493987 1.000000 9.729961
104.800897 20.935239 2.000000 2.357002
62.788057 22.164614 1.000000 2.190422
89.684044 21.620619 5.000000 7.517135
88.608202 22.555567 9.000000 2.468454
104.109907 19.634249 4.000000 7.529925
95.493956 23.047060 7.000000 1.722566
101.150459 20.911528 9.000000 4.525219
84.461798 21.566095 6.000000 5.578890
40.300891 19.836890 2.000000 6.082971
121.446549 17.491570 4.000000 6.689797
78.828218 19.230691 3.000000 6.704654
111.202712 22.910400 4.000000 5.973474
73.255314 19.703379 3.000000 3.709295
74.227605 19.374552 1.000000 6.535932
79.389247 21.417991 1.000000 2.772625
69.421051 18.345145 5.000000 4.691798
85.903389 21.169536 9.000000 2.497725
91.367228 21.343363 2.000000 3.470923
74.047372 23.554586 2.000000 6.269098
117.302366 23.947442 5.000000 2.544029
114.392325 23.096770 3.000000 0.994527
70.036649 19.919370 6.000000 3.514835
94.489783 20.066015 4.000000 6.225844
88.356779 21.209421 3.000000 3.963677
65.616102 20.636025 5.000000 2.614193
92.789202 19.862787 2.000000 6.090915
94.999778 21.147762 5.000000 6.440563
115.704649 21.387063 1.000000 2.639382
66.384487 23.979126 5.000000 5.629771
93.935742 19.852141 0.000000 1.326975
119.449383 21.986494 4.000000 3.882783
49.600097 22.171482 3.000000 2.088140
56.101398 18.241765 4.000000 6.704506
113.892029 21.988644 5.000000 4.484975
125.689384 20.513160 4.000000 6.578232
114.656060 16.002952 4.000000 4.815696
83.206423 21.438701 3.000000 1.723375
124.493961 20.006146 8.000000 4.229307
109.575206 21.514055 3.000000 3.032781
87.374278 23.682923 2.000000 6.649445
105.465486 23.207688 2.000000 4.892982
76.500484 18.067198 4.000000 2.592718
83.406177 22.302701 5.000000 2.897280
127.074828 26.557607 5.000000 3.822696
89.638003 20.938033 1.000000 3.132072
105.747614 19.175512 3.000000 4.914287
124.292477 21.344596 3.000000 3.653567
88.148892 19.464186 5.000000 5.231523
102.108151 22.207517 8.000000 7.632012
79.893207 17.173859 3.000000 0.955019
91.638086 21.442824 6.000000 2.446307
119.860950 21.314835 0.000000 4.191385
67.627855 22.328682 4.000000 2.174018
71.762159 23.881733 4.000000 4.223323
52.550670 24.043505 4.000000 4.861753
106.949863 16.169197 3.000000 3.429355
66.877472 14.565367 9.000000 8.578545
89.972352 21.727950 2.000000 8.215089
101.585665 23.446675 6.000000 5.114984
142.440541 19.305256 4.000000 1.775657
94.352055 21.542771 0.000000 0.598475
77.982228 16.089833 6.000000 4.458053
79.358837 20.851175 5.000000 1.910487
97.634312 20.559737 8.000000 2.137252
50.872468 19.510573 3.000000 7.677304
98.270641 22.362825 4.000000 3.863835
99.566609 22.816076 6.000000 6.103018
102.745061 24.183897 4.000000 6.348834
133.424224 20.116971 5.000000 0.534832
124.841333 19.228053 3.000000 9.088029
86.780088 22.176014 5.000000 3.404944
108.840491 20.753956 7.000000 2.533384
108.633498 17.272299 6.000000 1.822318
95.512106 18.424997 9.000000 2.684930
73.765425 18.631220 5.000000 4.901876
87.669088 19.758209 4.000000 4.684608
67.260704 21.646164 8.000000 1.409146
81.920889 18.854097 6.000000 6.538381
81.215931 20.974710 3.000000 5.388221
109.497642 23.599115 3.000000 4.554031
105.404004 18.268394 6.000000 4.960394
68.661398 22.363024 3.000000 3.849418
81.085393 23.363294 4.000000 1.429136
83.962077 21.530673 3.000000 2.048498
129.213253 20.353212 6.000000 7.035414
59.142781 19.948244 3.000000 3.893942
87.443507 23.350753 5.000000 4.894788
74.420639 19.661469 5.000000 5.130588
99.141754 25.063513 5.000000 3.000868
128.154442 21.172215 3.000000 4.980448
83.410227 21.276520 3.000000 4.169128
89.646385 19.932516 4.000000 4.734472
105.445329 18.571732 4.000000 4.171863
116.929040 23.928633 6.000000 6.431416
112.647698 20.952474 9.000000 1.624237
69.009066 21.551176 4.000000 7.689611
90.433429 22.016057 6.000000 3.907595
77.260699 22.018553 5.000000 4.288623
80.051352 21.169088 3.000000 2.539251
109.430082 19.264080 9.000000 4.135446
111.161612 21.073819 1.000000 5.467827
90.953032 19.791305 7.000000 4.313770
66.059570 21.061788 4.000000 4.280507
83.518344 19.984587 3.000000 6.436943
68.196118 23.828059 3.000000 4.215876
42.249410 21.581873 3.000000 5.699379
111.005424 23.460800 4.000000 3.879187
108.328584 21.395031 2.000000 4.797965
90.971997 21.007668 2.000000 5.802908
103.574580 18.778735 1.000000 8.078844
58.025903 20.249600 4.000000 5.528654
87.908309 23.569473 2.000000 3.386517
